"ROW.NUM","ICD.9.CM.CODE","CCS.CATEGORY","CCS.CATEGORY.DESCRIPTION","ICD.9.CM.CODE.DESCRIPTION","OPTIONAL.CCS.CATEGORY","OPTIONAL.CCS.CATEGORY.DESCRIPTION","ICD9.CODE.FRMT"
"122","01231","1    ","Tuberculosis","TB LARYNGITIS-NO EXAM"," "," ","012.31"
"123","01232","1    ","Tuberculosis","TB LARYNGITIS-EXAM UNKN"," "," ","012.32"
"124","01233","1    ","Tuberculosis","TB LARYNGITIS-MICRO DX"," "," ","012.33"
"125","01234","1    ","Tuberculosis","TB LARYNGITIS-CULT DX"," "," ","012.34"
"126","01235","1    ","Tuberculosis","TB LARYNGITIS-HISTO DX"," "," ","012.35"
"127","01236","1    ","Tuberculosis","TB LARYNGITIS-OTH TEST"," "," ","012.36"
"128","01280","1    ","Tuberculosis","RESP TB NEC-UNSPEC"," "," ","012.80"
"129","01281","1    ","Tuberculosis","RESP TB NEC-NO EXAM"," "," ","012.81"
"130","01282","1    ","Tuberculosis","RESP TB NEC-EXAM UNKN"," "," ","012.82"
"131","01283","1    ","Tuberculosis","RESP TB NEC-MICRO DX"," "," ","012.83"
"132","01284","1    ","Tuberculosis","RESP TB NEC-CULT DX"," "," ","012.84"
"133","01285","1    ","Tuberculosis","RESP TB NEC-HISTO DX"," "," ","012.85"
"134","01286","1    ","Tuberculosis","RESP TB NEC-OTH TEST"," "," ","012.86"
"135","01300","1    ","Tuberculosis","TB MENINGITIS-UNSPEC"," "," ","013.00"
"136","01301","1    ","Tuberculosis","TB MENINGITIS-NO EXAM"," "," ","013.01"
"137","01302","1    ","Tuberculosis","TB MENINGITIS-EXAM UNKN"," "," ","013.02"
"138","01303","1    ","Tuberculosis","TB MENINGITIS-MICRO DX"," "," ","013.03"
"139","01304","1    ","Tuberculosis","TB MENINGITIS-CULT DX"," "," ","013.04"
"140","01305","1    ","Tuberculosis","TB MENINGITIS-HISTO DX"," "," ","013.05"
"141","01306","1    ","Tuberculosis","TB MENINGITIS-OTH TEST"," "," ","013.06"
"142","01310","1    ","Tuberculosis","TUBRCLMA MENINGES-UNSPEC"," "," ","013.10"
"143","01311","1    ","Tuberculosis","TUBRCLMA MENING-NO EXAM"," "," ","013.11"
"144","01312","1    ","Tuberculosis","TUBRCLMA MENIN-EXAM UNKN"," "," ","013.12"
"145","01313","1    ","Tuberculosis","TUBRCLMA MENING-MICRO DX"," "," ","013.13"
"146","01314","1    ","Tuberculosis","TUBRCLMA MENING-CULT DX"," "," ","013.14"
"147","01315","1    ","Tuberculosis","TUBRCLMA MENING-HISTO DX"," "," ","013.15"
"148","01316","1    ","Tuberculosis","TUBRCLMA MENING-OTH TEST"," "," ","013.16"
"149","01320","1    ","Tuberculosis","TUBERCULOMA BRAIN-UNSPEC"," "," ","013.20"
"150","01321","1    ","Tuberculosis","TUBRCLOMA BRAIN-NO EXAM"," "," ","013.21"
"151","01322","1    ","Tuberculosis","TUBRCLMA BRAIN-EXAM UNKN"," "," ","013.22"
"152","01323","1    ","Tuberculosis","TUBRCLOMA BRAIN-MICRO DX"," "," ","013.23"
"153","01324","1    ","Tuberculosis","TUBRCLOMA BRAIN-CULT DX"," "," ","013.24"
"154","01325","1    ","Tuberculosis","TUBRCLOMA BRAIN-HISTO DX"," "," ","013.25"
"155","01326","1    ","Tuberculosis","TUBRCLOMA BRAIN-OTH TEST"," "," ","013.26"
"156","01330","1    ","Tuberculosis","TB BRAIN ABSCESS-UNSPEC"," "," ","013.30"
"157","01331","1    ","Tuberculosis","TB BRAIN ABSCESS-NO EXAM"," "," ","013.31"
"158","01332","1    ","Tuberculosis","TB BRAIN ABSC-EXAM UNKN"," "," ","013.32"
"159","01333","1    ","Tuberculosis","TB BRAIN ABSC-MICRO DX"," "," ","013.33"
"160","01334","1    ","Tuberculosis","TB BRAIN ABSCESS-CULT DX"," "," ","013.34"
"161","01335","1    ","Tuberculosis","TB BRAIN ABSC-HISTO DX"," "," ","013.35"
"162","01336","1    ","Tuberculosis","TB BRAIN ABSC-OTH TEST"," "," ","013.36"
"163","01340","1    ","Tuberculosis","TUBRCLMA SP CORD-UNSPEC"," "," ","013.40"
"164","01341","1    ","Tuberculosis","TUBRCLMA SP CORD-NO EXAM"," "," ","013.41"
"165","01342","1    ","Tuberculosis","TUBRCLMA SP CD-EXAM UNKN"," "," ","013.42"
"166","01343","1    ","Tuberculosis","TUBRCLMA SP CRD-MICRO DX"," "," ","013.43"
"167","01344","1    ","Tuberculosis","TUBRCLMA SP CORD-CULT DX"," "," ","013.44"
"168","01345","1    ","Tuberculosis","TUBRCLMA SP CRD-HISTO DX"," "," ","013.45"
"169","01346","1    ","Tuberculosis","TUBRCLMA SP CRD-OTH TEST"," "," ","013.46"
"170","01350","1    ","Tuberculosis","TB SP CRD ABSCESS-UNSPEC"," "," ","013.50"
"171","01351","1    ","Tuberculosis","TB SP CRD ABSC-NO EXAM"," "," ","013.51"
"172","01352","1    ","Tuberculosis","TB SP CRD ABSC-EXAM UNKN"," "," ","013.52"
"173","01353","1    ","Tuberculosis","TB SP CRD ABSC-MICRO DX"," "," ","013.53"
"174","01354","1    ","Tuberculosis","TB SP CRD ABSC-CULT DX"," "," ","013.54"
"175","01355","1    ","Tuberculosis","TB SP CRD ABSC-HISTO DX"," "," ","013.55"
"176","01356","1    ","Tuberculosis","TB SP CRD ABSC-OTH TEST"," "," ","013.56"
"177","01360","1    ","Tuberculosis","TB ENCEPHALITIS-UNSPEC"," "," ","013.60"
"178","01361","1    ","Tuberculosis","TB ENCEPHALITIS-NO EXAM"," "," ","013.61"
"179","01362","1    ","Tuberculosis","TB ENCEPHALIT-EXAM UNKN"," "," ","013.62"
"180","01363","1    ","Tuberculosis","TB ENCEPHALITIS-MICRO DX"," "," ","013.63"
"181","01364","1    ","Tuberculosis","TB ENCEPHALITIS-CULT DX"," "," ","013.64"
"182","01365","1    ","Tuberculosis","TB ENCEPHALITIS-HISTO DX"," "," ","013.65"
"183","01366","1    ","Tuberculosis","TB ENCEPHALITIS-OTH TEST"," "," ","013.66"
"184","01380","1    ","Tuberculosis","CNS TB NEC-UNSPEC"," "," ","013.80"
"185","01381","1    ","Tuberculosis","CNS TB NEC-NO EXAM"," "," ","013.81"
"186","01382","1    ","Tuberculosis","CNS TB NEC-EXAM UNKN"," "," ","013.82"
"187","01383","1    ","Tuberculosis","CNS TB NEC-MICRO DX"," "," ","013.83"
"188","01384","1    ","Tuberculosis","CNS TB NEC-CULT DX"," "," ","013.84"
"189","01385","1    ","Tuberculosis","CNS TB NEC-HISTO DX"," "," ","013.85"
"190","01386","1    ","Tuberculosis","CNS TB NEC-OTH TEST"," "," ","013.86"
"191","01390","1    ","Tuberculosis","CNS TB NOS-UNSPEC"," "," ","013.90"
"192","01391","1    ","Tuberculosis","CNS TB NOS-NO EXAM"," "," ","013.91"
"193","01392","1    ","Tuberculosis","CNS TB NOS-EXAM UNKN"," "," ","013.92"
"194","01393","1    ","Tuberculosis","CNS TB NOS-MICRO DX"," "," ","013.93"
"195","01394","1    ","Tuberculosis","CNS TB NOS-CULT DX"," "," ","013.94"
"196","01395","1    ","Tuberculosis","CNS TB NOS-HISTO DX"," "," ","013.95"
"197","01396","1    ","Tuberculosis","CNS TB NOS-OTH TEST"," "," ","013.96"
"198","01400","1    ","Tuberculosis","TB PERITONITIS-UNSPEC"," "," ","014.00"
"199","01401","1    ","Tuberculosis","TB PERITONITIS-NO EXAM"," "," ","014.01"
"200","01402","1    ","Tuberculosis","TB PERITONITIS-EXAM UNKN"," "," ","014.02"
"201","01403","1    ","Tuberculosis","TB PERITONITIS-MICRO DX"," "," ","014.03"
"202","01404","1    ","Tuberculosis","TB PERITONITIS-CULT DX"," "," ","014.04"
"203","01405","1    ","Tuberculosis","TB PERITONITIS-HISTO DX"," "," ","014.05"
"204","01406","1    ","Tuberculosis","TB PERITONITIS-OTH TEST"," "," ","014.06"
"205","01480","1    ","Tuberculosis","INTESTINAL TB NEC-UNSPEC"," "," ","014.80"
"206","01481","1    ","Tuberculosis","INTESTIN TB NEC-NO EXAM"," "," ","014.81"
"207","01482","1    ","Tuberculosis","INTEST TB NEC-EXAM UNKN"," "," ","014.82"
"208","01483","1    ","Tuberculosis","INTESTIN TB NEC-MICRO DX"," "," ","014.83"
"209","01484","1    ","Tuberculosis","INTESTIN TB NEC-CULT DX"," "," ","014.84"
"210","01485","1    ","Tuberculosis","INTESTIN TB NEC-HISTO DX"," "," ","014.85"
"211","01486","1    ","Tuberculosis","INTESTIN TB NEC-OTH TEST"," "," ","014.86"
"212","01500","1    ","Tuberculosis","TB OF VERTEBRA-UNSPEC"," "," ","015.00"
"213","01501","1    ","Tuberculosis","TB OF VERTEBRA-NO EXAM"," "," ","015.01"
"214","01502","1    ","Tuberculosis","TB OF VERTEBRA-EXAM UNKN"," "," ","015.02"
"215","01503","1    ","Tuberculosis","TB OF VERTEBRA-MICRO DX"," "," ","015.03"
"216","01504","1    ","Tuberculosis","TB OF VERTEBRA-CULT DX"," "," ","015.04"
"217","01505","1    ","Tuberculosis","TB OF VERTEBRA-HISTO DX"," "," ","015.05"
"218","01506","1    ","Tuberculosis","TB OF VERTEBRA-OTH TEST"," "," ","015.06"
"219","01510","1    ","Tuberculosis","TB OF HIP-UNSPEC"," "," ","015.10"
"220","01511","1    ","Tuberculosis","TB OF HIP-NO EXAM"," "," ","015.11"
"221","01512","1    ","Tuberculosis","TB OF HIP-EXAM UNKN"," "," ","015.12"
"222","01513","1    ","Tuberculosis","TB OF HIP-MICRO DX"," "," ","015.13"
"223","01514","1    ","Tuberculosis","TB OF HIP-CULT DX"," "," ","015.14"
"224","01515","1    ","Tuberculosis","TB OF HIP-HISTO DX"," "," ","015.15"
"225","01516","1    ","Tuberculosis","TB OF HIP-OTH TEST"," "," ","015.16"
"226","01520","1    ","Tuberculosis","TB OF KNEE-UNSPEC"," "," ","015.20"
"227","01521","1    ","Tuberculosis","TB OF KNEE-NO EXAM"," "," ","015.21"
"228","01522","1    ","Tuberculosis","TB OF KNEE-EXAM UNKN"," "," ","015.22"
"229","01523","1    ","Tuberculosis","TB OF KNEE-MICRO DX"," "," ","015.23"
"230","01524","1    ","Tuberculosis","TB OF KNEE-CULT DX"," "," ","015.24"
"231","01525","1    ","Tuberculosis","TB OF KNEE-HISTO DX"," "," ","015.25"
"232","01526","1    ","Tuberculosis","TB OF KNEE-OTH TEST"," "," ","015.26"
"233","01550","1    ","Tuberculosis","TB OF LIMB BONES-UNSPEC"," "," ","015.50"
"234","01551","1    ","Tuberculosis","TB LIMB BONES-NO EXAM"," "," ","015.51"
"235","01552","1    ","Tuberculosis","TB LIMB BONES-EXAM UNKN"," "," ","015.52"
"236","01553","1    ","Tuberculosis","TB LIMB BONES-MICRO DX"," "," ","015.53"
"237","01554","1    ","Tuberculosis","TB LIMB BONES-CULT DX"," "," ","015.54"
"238","01555","1    ","Tuberculosis","TB LIMB BONES-HISTO DX"," "," ","015.55"
"239","01556","1    ","Tuberculosis","TB LIMB BONES-OTH TEST"," "," ","015.56"
"240","01560","1    ","Tuberculosis","TB OF MASTOID-UNSPEC"," "," ","015.60"
"241","01561","1    ","Tuberculosis","TB OF MASTOID-NO EXAM"," "," ","015.61"
"242","01562","1    ","Tuberculosis","TB OF MASTOID-EXAM UNKN"," "," ","015.62"
"243","01563","1    ","Tuberculosis","TB OF MASTOID-MICRO DX"," "," ","015.63"
"244","01564","1    ","Tuberculosis","TB OF MASTOID-CULT DX"," "," ","015.64"
"245","01565","1    ","Tuberculosis","TB OF MASTOID-HISTO DX"," "," ","015.65"
"246","01566","1    ","Tuberculosis","TB OF MASTOID-OTH TEST"," "," ","015.66"
"247","01570","1    ","Tuberculosis","TB OF BONE NEC-UNSPEC"," "," ","015.70"
"248","01571","1    ","Tuberculosis","TB OF BONE NEC-NO EXAM"," "," ","015.71"
"249","01572","1    ","Tuberculosis","TB OF BONE NEC-EXAM UNKN"," "," ","015.72"
"250","01573","1    ","Tuberculosis","TB OF BONE NEC-MICRO DX"," "," ","015.73"
"251","01574","1    ","Tuberculosis","TB OF BONE NEC-CULT DX"," "," ","015.74"
"252","01575","1    ","Tuberculosis","TB OF BONE NEC-HISTO DX"," "," ","015.75"
"253","01576","1    ","Tuberculosis","TB OF BONE NEC-OTH TEST"," "," ","015.76"
"254","01580","1    ","Tuberculosis","TB OF JOINT NEC-UNSPEC"," "," ","015.80"
"255","01581","1    ","Tuberculosis","TB OF JOINT NEC-NO EXAM"," "," ","015.81"
"256","01582","1    ","Tuberculosis","TB JOINT NEC-EXAM UNKN"," "," ","015.82"
"257","01583","1    ","Tuberculosis","TB OF JOINT NEC-MICRO DX"," "," ","015.83"
"258","01584","1    ","Tuberculosis","TB OF JOINT NEC-CULT DX"," "," ","015.84"
"259","01585","1    ","Tuberculosis","TB OF JOINT NEC-HISTO DX"," "," ","015.85"
"260","01586","1    ","Tuberculosis","TB OF JOINT NEC-OTH TEST"," "," ","015.86"
"261","01590","1    ","Tuberculosis","TB BONE/JOINT NOS-UNSPEC"," "," ","015.90"
"262","01591","1    ","Tuberculosis","TB BONE/JT NOS-NO EXAM"," "," ","015.91"
"263","01592","1    ","Tuberculosis","TB BONE/JT NOS-EXAM UNKN"," "," ","015.92"
"264","01593","1    ","Tuberculosis","TB BONE/JT NOS-MICRO DX"," "," ","015.93"
"265","01594","1    ","Tuberculosis","TB BONE/JT NOS-CULT DX"," "," ","015.94"
"266","01595","1    ","Tuberculosis","TB BONE/JT NOS-HISTO DX"," "," ","015.95"
"267","01596","1    ","Tuberculosis","TB BONE/JT NOS-OTH TEST"," "," ","015.96"
"268","01600","1    ","Tuberculosis","TB OF KIDNEY-UNSPEC"," "," ","016.00"
"269","01601","1    ","Tuberculosis","TB OF KIDNEY-NO EXAM"," "," ","016.01"
"270","01602","1    ","Tuberculosis","TB OF KIDNEY-EXAM UNKN"," "," ","016.02"
"271","01603","1    ","Tuberculosis","TB OF KIDNEY-MICRO DX"," "," ","016.03"
"272","01604","1    ","Tuberculosis","TB OF KIDNEY-CULT DX"," "," ","016.04"
"273","01605","1    ","Tuberculosis","TB OF KIDNEY-HISTO DX"," "," ","016.05"
"274","01606","1    ","Tuberculosis","TB OF KIDNEY-OTH TEST"," "," ","016.06"
"275","01610","1    ","Tuberculosis","TB OF BLADDER-UNSPEC"," "," ","016.10"
"276","01611","1    ","Tuberculosis","TB OF BLADDER-NO EXAM"," "," ","016.11"
"277","01612","1    ","Tuberculosis","TB OF BLADDER-EXAM UNKN"," "," ","016.12"
"278","01613","1    ","Tuberculosis","TB OF BLADDER-MICRO DX"," "," ","016.13"
"279","01614","1    ","Tuberculosis","TB OF BLADDER-CULT DX"," "," ","016.14"
"280","01615","1    ","Tuberculosis","TB OF BLADDER-HISTO DX"," "," ","016.15"
"281","01616","1    ","Tuberculosis","TB OF BLADDER-OTH TEST"," "," ","016.16"
"282","01620","1    ","Tuberculosis","TB OF URETER-UNSPEC"," "," ","016.20"
"283","01621","1    ","Tuberculosis","TB OF URETER-NO EXAM"," "," ","016.21"
"284","01622","1    ","Tuberculosis","TB OF URETER-EXAM UNKN"," "," ","016.22"
"285","01623","1    ","Tuberculosis","TB OF URETER-MICRO DX"," "," ","016.23"
"286","01624","1    ","Tuberculosis","TB OF URETER-CULT DX"," "," ","016.24"
"287","01625","1    ","Tuberculosis","TB OF URETER-HISTO DX"," "," ","016.25"
"288","01626","1    ","Tuberculosis","TB OF URETER-OTH TEST"," "," ","016.26"
"289","01630","1    ","Tuberculosis","TB URINARY NEC-UNSPEC"," "," ","016.30"
"290","01631","1    ","Tuberculosis","TB URINARY NEC-NO EXAM"," "," ","016.31"
"291","01632","1    ","Tuberculosis","TB URINARY NEC-EXAM UNKN"," "," ","016.32"
"292","01633","1    ","Tuberculosis","TB URINARY NEC-MICRO DX"," "," ","016.33"
"293","01634","1    ","Tuberculosis","TB URINARY NEC-CULT DX"," "," ","016.34"
"294","01635","1    ","Tuberculosis","TB URINARY NEC-HISTO DX"," "," ","016.35"
"295","01636","1    ","Tuberculosis","TB URINARY NEC-OTH TEST"," "," ","016.36"
